Leaf Node Category ID	Category Name (中)		
100094	BE - 女生包包/精品 - 手提包		
100346	BE - 女生包包/精品 - 包包配件 - 包包吊飾		
100347	BE - 女生包包/精品 - 包包配件 - 包包收納		
100345	BE - 女生包包/精品 - 包包配件 - 包包掛勾		
100349	BE - 女生包包/精品 - 包包配件 - 其他		
100344	BE - 女生包包/精品 - 包包配件 - 背帶/配件		
100348	BE - 女生包包/精品 - 包包配件 - 清潔/保養用品		
100341	BE - 女生包包/精品 - 皮夾 - 中夾/短夾		
100340	BE - 女生包包/精品 - 皮夾 - 手機包/鑰匙包		
100338	BE - 女生包包/精品 - 皮夾 - 卡夾		
100343	BE - 女生包包/精品 - 皮夾 - 其他		
100342	BE - 女生包包/精品 - 皮夾 - 長夾		
100339	BE - 女生包包/精品 - 皮夾 - 零錢包		
100093	BE - 女生包包/精品 - 托特包		
100098	BE - 女生包包/精品 - 其他		
100089	BE - 女生包包/精品 - 後背包		
100095	BE - 女生包包/精品 - 側/肩背包		
100091	BE - 女生包包/精品 - 晚宴包/手拿包		
100092	BE - 女生包包/精品 - 腰包/胸包		
100334	BE - 女生包包/精品 - 電腦包 - 手提斜背筆電包		
100337	BE - 女生包包/精品 - 電腦包 - 其他		
100335	BE - 女生包包/精品 - 電腦包 - 筆電套		
100336	BE - 女生包包/精品 - 電腦包 - 電腦後背包		
100351	BE - 女生衣著 - 上衣 - 平口背心		
100356	BE - 女生衣著 - 上衣 - 其他上衣		
100350	BE - 女生衣著 - 上衣 - 細肩帶 / 繞頸背心		
100355	BE - 女生衣著 - 上衣 - 連體衣 / 包屁衣		
100353	BE - 女生衣著 - 上衣 - 襯衫		
100354	BE - 女生衣著 - 上衣 - Polo衫		
100352	BE - 女生衣著 - 上衣 - T恤		
100373	BE - 女生衣著 - 大學T / 帽T - 大學T		
100375	BE - 女生衣著 - 大學T / 帽T - 其他帽T / 大學T		
100374	BE - 女生衣著 - 大學T / 帽T - 帽T		
100381	BE - 女生衣著 - 內衣褲 - 內衣		
100523	BE - 女生衣著 - 內衣褲 - 內衣配件 - 內衣肩帶		
100526	BE - 女生衣著 - 內衣褲 - 內衣配件 - 其他		
100525	BE - 女生衣著 - 內衣褲 - 內衣配件 - 胸貼		
100524	BE - 女生衣著 - 內衣褲 - 內衣配件 - 胸墊		
100382	BE - 女生衣著 - 內衣褲 - 內褲		
100386	BE - 女生衣著 - 內衣褲 - 安全褲		
100380	BE - 女生衣著 - 內衣褲 - 成套內衣褲		
100387	BE - 女生衣著 - 內衣褲 - 情趣內衣		
100383	BE - 女生衣著 - 內衣褲 - 發熱衣 / 內搭衣		
100385	BE - 女生衣著 - 內衣褲 - 塑身衣		
100388	BE - 女生衣著 - 內衣褲 - 運動型內衣 / 其他內衣		
100108	BE - 女生衣著 - 毛衣 / 針織		
100103	BE - 女生衣著 - 牛仔褲		
100368	BE - 女生衣著 - 外套 / 背心 - 斗篷		
100367	BE - 女生衣著 - 外套 / 背心 - 冬季外套 / 大衣		
100369	BE - 女生衣著 - 外套 / 背心 - 西裝		
100370	BE - 女生衣著 - 外套 / 背心 - 夾克		
100372	BE - 女生衣著 - 外套 / 背心 - 其他外套		
100371	BE - 女生衣著 - 外套 / 背心 - 背心外套		
100395	BE - 女生衣著 - 孕婦裝 - 上衣		
100398	BE - 女生衣著 - 孕婦裝 - 下著		
100399	BE - 女生衣著 - 孕婦裝 - 其他		
100394	BE - 女生衣著 - 孕婦裝 - 洋裝		
100393	BE - 女生衣著 - 孕婦裝 - 哺乳內衣		
100396	BE - 女生衣著 - 孕婦裝 - 哺乳衣		
100397	BE - 女生衣著 - 孕婦裝 - 套裝		
100409	BE - 女生衣著 - 布料 - 天鵝絨 / 絲綢 / 緞面		
100412	BE - 女生衣著 - 布料 - 牛仔		
100411	BE - 女生衣著 - 布料 - 尼龍		
100410	BE - 女生衣著 - 布料 - 皮革		
100413	BE - 女生衣著 - 布料 - 帆布		
100408	BE - 女生衣著 - 布料 - 羊毛		
100416	BE - 女生衣著 - 布料 - 其他		
100407	BE - 女生衣著 - 布料 - 棉		
100115	BE - 女生衣著 - 角色扮演服		
100116	BE - 女生衣著 - 其他		
100359	BE - 女生衣著 - 長褲 / 緊身褲 - 其他長褲		
100358	BE - 女生衣著 - 長褲 / 緊身褲 - 長褲		
100357	BE - 女生衣著 - 長褲 / 緊身褲 - 緊身褲 / 內搭褲		
100104	BE - 女生衣著 - 洋裝		
100379	BE - 女生衣著 - 套裝 - 其他套裝		
100378	BE - 女生衣著 - 套裝 - 個人套裝		
100376	BE - 女生衣著 - 套裝 - 情侶裝		
100377	BE - 女生衣著 - 套裝 - 親子裝		
100365	BE - 女生衣著 - 連身褲 / 吊帶褲 - 吊帶褲 / 吊帶裙		
100366	BE - 女生衣著 - 連身褲 / 吊帶褲 - 其他連身 / 吊帶裝		
100363	BE - 女生衣著 - 連身褲 / 吊帶褲 - 連身長褲		
100364	BE - 女生衣著 - 連身褲 / 吊帶褲 - 連身短褲		
100362	BE - 女生衣著 - 短褲 - 其他短褲		
100360	BE - 女生衣著 - 短褲 - 短褲		
100361	BE - 女生衣著 - 短褲 - 褲裙		
100400	BE - 女生衣著 - 傳統服飾 - 上衣		
100401	BE - 女生衣著 - 傳統服飾 - 下著		
100404	BE - 女生衣著 - 傳統服飾 - 其他傳統服飾		
100403	BE - 女生衣著 - 傳統服飾 - 洋裝		
100402	BE - 女生衣著 - 傳統服飾 - 套裝		
100392	BE - 女生衣著 - 睡衣 / 居家服 - 其他睡衣		
100389	BE - 女生衣著 - 睡衣 / 居家服 - 居家服		
100390	BE - 女生衣著 - 睡衣 / 居家服 - 連身睡裙 / 性感睡衣		
100391	BE - 女生衣著 - 睡衣 / 居家服 - 睡袍		
100102	BE - 女生衣著 - 裙裝		
100105	BE - 女生衣著 - 禮服		
100419	BE - 女生衣著 - 襪子 / 絲襪 - 其他		
100418	BE - 女生衣著 - 襪子 / 絲襪 - 絲襪		
100417	BE - 女生衣著 - 襪子 / 絲襪 - 襪子		
100590	BE - 女鞋 - 平底鞋 - 牛津鞋/ 綁帶鞋		
100592	BE - 女鞋 - 平底鞋 - 其他		
100588	BE - 女鞋 - 平底鞋 - 娃娃鞋		
100589	BE - 女鞋 - 平底鞋 - 樂福鞋/帆船鞋		
100591	BE - 女鞋 - 平底鞋 - 懶人鞋/穆勒鞋		
100557	BE - 女鞋 - 休閒鞋款		
100563	BE - 女鞋 - 其他		
100594	BE - 女鞋 - 涼拖鞋 - 人字拖/ 夾腳拖		
100593	BE - 女鞋 - 涼拖鞋 - 平底涼拖鞋		
100597	BE - 女鞋 - 涼拖鞋 - 其他涼拖鞋		
100596	BE - 女鞋 - 涼拖鞋 - 室內拖/ 室內拖鞋		
100595	BE - 女鞋 - 涼拖鞋 - 健康拖/ 健康拖鞋		
100560	BE - 女鞋 - 楔型鞋		
100559	BE - 女鞋 - 跟鞋		
